growthcurve_id,biomass_diff
biox001_gro,-0.55
biox002_gro,-1.09
biox003_gro,0.08
biox004_gro,124.68
biox005_gro,122.11
biox006_gro,104.57
biox007_gro,168.75
biox008_gro,142.52
biox009_gro,138.18
biox010_gro,124.11
biox011_gro,142.13
biox012_gro,135.47
biox013_gro,169.66
biox014_gro,144.34
biox015_gro,190.93
biox016_gro,174.74
biox017_gro,222.52
biox018_gro,252.53
biox019_gro,173.75
biox020_gro,198.21
biox021_gro,319.12
biox022_gro,238.83
biox023_gro,211.42
biox024_gro,207.37
biox025_gro,263.54
biox026_gro,191.69
biox027_gro,358.72
biox028_gro,236.81
biox029_gro,277.57
biox030_gro,312.9
biox031_gro,230.67
biox032_gro,214.9
biox033_gro,347.39
biox034_gro,347.41
biox035_gro,260.41
biox036_gro,356.51
biox037_gro,180.53
biox038_gro,179.5
biox039_gro,388.37
biox040_gro,325.96
biox041_gro,124.99
biox042_gro,127.92
biox043_gro,239.23
biox044_gro,217.12
biox045_gro,535.07
biox046_gro,457.64
biox047_gro,421.87
biox048_gro,390.15
biox049_gro,0.19
biox050_gro,0.75
biox051_gro,-0.05
biox052_gro,179.1
biox053_gro,207.69
biox054_gro,125.51
biox055_gro,164.41
biox056_gro,202.27
biox057_gro,206.94
biox058_gro,179.35
biox059_gro,178.8
biox060_gro,115.19
biox061_gro,150.13
biox062_gro,167.72
biox063_gro,114.86
biox064_gro,89.44
biox065_gro,134.14
biox066_gro,120.33
biox067_gro,95.25
biox068_gro,101.69
biox069_gro,165.72
biox070_gro,181.36
biox071_gro,764.27
biox072_gro,777.9
biox073_gro,119.65
biox074_gro,114.09
biox075_gro,194.24
biox076_gro,182.93
biox077_gro,951.83
biox078_gro,873.75
biox079_gro,143.14
biox080_gro,103.22
biox081_gro,228.59
biox082_gro,297.18
biox083_gro,996.55
biox084_gro,825.51
biox085_gro,113.75
biox086_gro,118.95
biox087_gro,197.81
biox088_gro,176.2
biox089_gro,277.46
biox090_gro,122.59
biox091_gro,100.6
biox092_gro,108.39
biox093_gro,201.53
biox094_gro,188.23
biox095_gro,714.09
biox096_gro,539.43
biox097_gro,-2.09
biox098_gro,9.47
biox099_gro,-0.87
biox100_gro,129.08
biox101_gro,141.89
biox102_gro,138.39
biox103_gro,94.5
biox104_gro,109.03
biox105_gro,140.83
biox106_gro,94.1
biox107_gro,105.5
biox108_gro,111.47
biox109_gro,86.58
biox110_gro,102.1
biox111_gro,148.87
biox112_gro,108.03
biox113_gro,228.73
biox114_gro,243.74
biox115_gro,106.48
biox116_gro,136.41
biox117_gro,454.11
biox118_gro,294.29
biox119_gro,651.31
biox120_gro,480.47
biox121_gro,98.25
biox122_gro,133.4
biox123_gro,466.47
biox124_gro,332.23
biox125_gro,557.64
biox126_gro,554.75
biox127_gro,117.28
biox128_gro,146.02
biox129_gro,573.55
biox130_gro,443.99
biox131_gro,477.23
biox132_gro,447.13
biox133_gro,119.18
biox134_gro,132.06
biox135_gro,161.34
biox136_gro,155.29
biox137_gro,131.34
biox138_gro,113.74
biox139_gro,93.52
biox140_gro,121.86
biox141_gro,343.29
biox142_gro,291.6
biox143_gro,501.59
biox144_gro,502.4
