growthcurve_id,biomass_diff
biox001_gro,-0.55
biox002_gro,-1.09
biox003_gro,0.08
biox004_gro,124.68
biox005_gro,122.11
biox006_gro,104.57
biox007_gro,168.75
biox008_gro,142.52
biox009_gro,138.18
biox010_gro,124.11
biox011_gro,142.13
biox012_gro,135.47
biox013_gro,169.66
biox014_gro,144.34
biox015_gro,190.93
biox016_gro,174.74
biox017_gro,222.52
biox018_gro,252.53
biox031_gro,230.67
biox032_gro,214.9
biox033_gro,347.39
biox034_gro,347.41
biox035_gro,260.41
biox036_gro,356.51
biox049_gro,0.19
biox050_gro,0.75
biox051_gro,-0.05
biox052_gro,179.1
biox053_gro,207.69
biox054_gro,125.51
biox055_gro,164.41
biox056_gro,202.27
biox057_gro,206.94
biox058_gro,179.35
biox059_gro,178.8
biox060_gro,115.19
biox061_gro,150.13
biox062_gro,167.72
biox063_gro,114.86
biox064_gro,89.44
biox065_gro,134.14
biox066_gro,120.33
biox079_gro,143.14
biox080_gro,103.22
biox081_gro,228.59
biox082_gro,297.18
biox083_gro,996.55
biox084_gro,825.51
biox097_gro,-2.09
biox098_gro,9.47
biox099_gro,-0.87
biox100_gro,129.08
biox101_gro,141.89
biox102_gro,138.39
biox103_gro,94.5
biox104_gro,109.03
biox105_gro,140.83
biox106_gro,94.1
biox107_gro,105.5
biox108_gro,111.47
biox109_gro,86.58
biox110_gro,102.1
biox111_gro,148.87
biox112_gro,108.03
biox113_gro,228.73
biox114_gro,243.74
biox127_gro,117.28
biox128_gro,146.02
biox129_gro,573.55
biox130_gro,443.99
biox131_gro,477.23
biox132_gro,447.13
