biolector_id,sequence_id,metabolomics_id,growthcurve_id,gridion_id,treatment,barc,sample_id,dose,condition,donor
biox001,biox001_seq,biox001_met,biox001_gro,FAY49332_pass_barcode01_22d54adf_858fe6f8_all,media,barcode01,media_1,media,media,7393
biox002,biox002_seq,biox002_met,biox002_gro,FAY49332_pass_barcode86_22d54adf_858fe6f8_all,media,barcode86,media_2,media,media,7393
biox003,biox003_seq,biox003_met,biox003_gro,FAY49332_pass_barcode17_22d54adf_858fe6f8_all,media,barcode17,media_3,media,media,7393
biox004,biox004_seq,biox004_met,biox004_gro,FAY49332_pass_barcode25_22d54adf_858fe6f8_all,stool,barcode25,stool_1,stool,stool,7393
biox005,biox005_seq,biox005_met,biox005_gro,FAY49332_pass_barcode33_22d54adf_858fe6f8_all,stool,barcode33,stool_2,stool,stool,7393
biox006,biox006_seq,biox006_met,biox006_gro,FAY49332_pass_barcode41_22d54adf_858fe6f8_all,stool,barcode41,stool_3,stool,stool,7393
biox007,biox007_seq,biox007_met,biox007_gro,FAY49332_pass_barcode02_22d54adf_858fe6f8_all,catalyst_low,barcode02,catalyst_low_1,low,catalyst,7393
biox008,biox008_seq,biox008_met,biox008_gro,FAY49332_pass_barcode10_22d54adf_858fe6f8_all,catalyst_low,barcode10,catalyst_low_2,low,catalyst,7393
biox009,biox009_seq,biox009_met,biox009_gro,FAY49332_pass_barcode18_22d54adf_858fe6f8_all,catalyst_med,barcode18,catalyst_med_1,med,catalyst,7393
biox010,biox010_seq,biox010_met,biox010_gro,FAY49332_pass_barcode26_22d54adf_858fe6f8_all,catalyst_med,barcode26,catalyst_med_2,med,catalyst,7393
biox011,biox011_seq,biox011_met,biox011_gro,FAY49332_pass_barcode34_22d54adf_858fe6f8_all,catalyst_high,barcode34,catalyst_high_1,high,catalyst,7393
biox012,biox012_seq,biox012_met,biox012_gro,FAY49332_pass_barcode42_22d54adf_858fe6f8_all,catalyst_high,barcode42,catalyst_high_2,high,catalyst,7393
biox013,biox013_seq,biox013_met,biox013_gro,FAY49332_pass_barcode03_22d54adf_858fe6f8_all,monomer_low,barcode03,monomer_low_1,low,monomer,7393
biox014,biox014_seq,biox014_met,biox014_gro,FAY49332_pass_barcode11_22d54adf_858fe6f8_all,monomer_low,barcode11,monomer_low_2,low,monomer,7393
