,biox001_seq,biox002_seq,biox003_seq,biox004_seq,biox005_seq,biox006_seq,biox007_seq,biox008_seq,biox009_seq,biox010_seq,biox011_seq,biox012_seq,biox013_seq,biox014_seq,biox015_seq,biox016_seq,biox017_seq,biox018_seq,biox031_seq,biox032_seq,biox033_seq,biox034_seq,biox035_seq,biox036_seq,biox050_seq,biox051_seq,biox052_seq,biox053_seq,biox054_seq,biox055_seq,biox056_seq,biox057_seq,biox058_seq,biox059_seq,biox060_seq,biox061_seq,biox062_seq,biox063_seq,biox064_seq,biox065_seq,biox066_seq,biox079_seq,biox080_seq,biox081_seq,biox082_seq,biox083_seq,biox084_seq,biox097_seq,biox098_seq,biox099_seq,biox100_seq,biox101_seq,biox102_seq,biox103_seq,biox104_seq,biox105_seq,biox106_seq,biox107_seq,biox108_seq,biox109_seq,biox110_seq,biox111_seq,biox112_seq,biox113_seq,biox114_seq,biox127_seq,biox128_seq,biox129_seq,biox130_seq,biox131_seq,biox132_seq
Enterococcus_B_faecium,16,12,16,7480,5484,7398,11915,5759,7435,12025,6998,9846,6358,9127,6561,8377,8709,10774,9915,7713,1774,5062,2165,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_uniformis,0,0,0,1678,1581,1975,2697,1342,1659,3302,1584,2066,1326,1587,1261,1550,1217,1739,1954,1566,571,1772,239,323,0,0,504,390,302,537,168,393,0,380,253,300,721,240,218,147,130,84,209,98,54,17,17,0,0,0,2445,1387,1760,2480,2054,1959,4630,2475,1868,1353,4015,1225,2676,172,173,180,576,1474,2886,318,541
Bacteroides_thetaiotaomicron,0,0,0,1003,928,1307,1581,733,867,1672,913,1191,719,995,631,800,617,899,956,674,396,1072,159,230,0,0,34,28,28,72,0,32,0,44,25,35,96,26,0,27,18,20,20,0,0,0,0,0,0,0,488,258,518,479,498,514,1105,593,544,296,1014,535,1232,383,551,229,431,231,522,53,112
Bacteroides_cellulosilyticus,0,0,0,101,80,118,183,87,79,177,111,133,102,108,87,112,171,213,158,115,210,565,59,86,0,0,127,89,75,267,79,119,0,114,95,129,228,89,59,0,0,46,58,0,0,0,0,0,0,0,156,69,101,160,139,147,323,151,145,74,281,132,319,71,143,69,98,81,218,11,30
Bacteroides_finegoldii,0,0,0,125,95,162,178,92,117,202,86,152,81,113,93,84,129,187,122,87,0,26,0,0,0,0,69,50,34,57,34,53,0,45,51,50,131,60,30,35,54,21,58,49,31,0,0,0,0,0,424,272,612,430,361,368,989,541,532,157,675,246,1270,1029,737,221,281,880,2023,259,455
Bacteroides_ovatus,0,0,0,136,105,172,177,101,86,192,108,153,101,117,85,101,90,81,113,114,48,102,0,32,0,0,34,20,0,28,0,22,0,19,0,42,52,29,17,18,16,0,17,0,0,0,0,0,0,0,99,44,92,95,89,86,189,116,103,45,198,84,241,57,77,39,99,79,204,35,65
Bacteroides_sp002491635,0,0,0,106,62,89,134,67,85,147,72,95,60,69,58,76,65,85,97,68,44,92,16,16,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,63,49,76,84,57,148,71,74,43,153,58,110,11,13,0,27,31,124,23,31
Bacteroides_sp900765785,0,0,0,77,51,84,135,50,53,113,49,91,52,66,46,56,38,35,47,47,19,72,0,18,0,0,14,0,0,23,0,0,0,0,0,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,103,30,98,61,94,82,179,123,98,39,144,83,151,51,63,19,56,21,86,34,56
Bacteroides_sp900761785,0,0,0,73,63,73,108,47,45,120,61,89,48,72,36,48,49,67,61,40,26,54,0,18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,37,53,49,25,85,39,40,27,88,34,71,29,50,15,0,20,67,0,0
Bacteroides_xylanisolvens,0,0,0,45,47,54,65,37,29,83,44,55,25,36,24,47,39,57,48,36,0,31,0,0,0,0,124,93,60,165,39,90,0,64,50,127,215,98,83,65,60,49,86,21,20,0,0,0,0,0,291,149,431,346,289,258,647,329,309,158,595,322,867,112,77,159,311,268,834,141,242
Bacteroides_faecis,0,0,0,49,44,45,61,31,44,82,39,58,48,45,36,33,28,49,30,40,19,34,0,0,0,0,852,582,436,1276,333,694,22,637,470,797,1385,574,481,296,346,274,458,185,99,33,62,0,0,0,37,26,24,36,33,37,54,41,44,21,72,49,72,26,47,0,24,15,32,0,0
Bacteroides_fluxus,0,0,0,33,26,41,51,32,24,57,19,39,29,38,39,32,28,37,35,32,19,54,0,0,0,0,66,56,17,54,13,33,0,34,21,59,122,68,54,22,18,19,30,14,12,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,13,0,0,0,0,0,0,0,18,0,0
Bacteroides_eggerthii,0,0,0,21,25,40,47,34,28,64,37,39,20,27,19,16,38,35,42,36,0,22,0,0,0,0,49,45,39,51,26,45,0,43,26,37,106,45,29,31,30,18,35,21,0,0,0,0,0,0,0,0,14,21,11,18,50,24,18,17,37,24,42,18,19,12,20,16,36,0,0
MGYG000001977,0,0,0,18,23,33,30,21,21,48,24,32,17,33,16,28,28,34,35,22,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,14,15,14,34,22,15,0,45,21,21,0,13,0,0,16,38,0,0
Bacteroides_caccae,0,0,0,14,20,31,25,0,13,31,19,29,0,15,0,28,25,23,22,13,0,20,0,0,0,0,39,20,0,56,19,24,0,18,13,27,57,20,17,26,13,15,19,22,19,0,0,0,0,0,359,153,233,302,267,281,661,373,254,155,617,355,822,604,827,166,324,441,988,194,361
