"","biox001_seq","biox002_seq","biox003_seq","biox004_seq","biox005_seq","biox006_seq","biox007_seq","biox008_seq","biox009_seq","biox010_seq","biox011_seq","biox012_seq","biox013_seq","biox014_seq","biox015_seq","biox016_seq","biox017_seq","biox018_seq","biox019_seq","biox020_seq","biox021_seq","biox022_seq","biox023_seq","biox024_seq","biox025_seq","biox026_seq","biox027_seq","biox028_seq","biox029_seq","biox030_seq","biox031_seq","biox032_seq","biox033_seq","biox034_seq","biox035_seq","biox036_seq","biox037_seq","biox038_seq","biox039_seq","biox040_seq","biox041_seq","biox042_seq","biox043_seq","biox044_seq","biox045_seq","biox046_seq","biox047_seq","biox048_seq","biox050_seq","biox051_seq","biox052_seq","biox053_seq","biox054_seq","biox055_seq","biox056_seq","biox057_seq","biox058_seq","biox059_seq","biox060_seq","biox061_seq","biox062_seq","biox063_seq","biox064_seq","biox065_seq","biox066_seq","biox067_seq","biox068_seq","biox069_seq","biox070_seq","biox071_seq","biox072_seq","biox073_seq","biox074_seq","biox075_seq","biox076_seq","biox077_seq","biox078_seq","biox079_seq","biox080_seq","biox081_seq","biox082_seq","biox083_seq","biox084_seq","biox085_seq","biox086_seq","biox087_seq","biox088_seq","biox089_seq","biox090_seq","biox091_seq","biox092_seq","biox093_seq","biox094_seq","biox095_seq","biox096_seq","biox097_seq","biox098_seq","biox099_seq","biox100_seq","biox101_seq","biox102_seq","biox103_seq","biox104_seq","biox105_seq","biox106_seq","biox107_seq","biox108_seq","biox109_seq","biox110_seq","biox111_seq","biox112_seq","biox113_seq","biox114_seq","biox115_seq","biox116_seq","biox117_seq","biox118_seq","biox119_seq","biox120_seq","biox121_seq","biox122_seq","biox123_seq","biox124_seq","biox125_seq","biox126_seq","biox127_seq","biox128_seq","biox129_seq","biox130_seq","biox131_seq","biox132_seq","biox133_seq","biox134_seq","biox135_seq","biox136_seq","biox137_seq","biox138_seq","biox139_seq","biox140_seq","biox141_seq","biox142_seq","biox143_seq","biox144_seq"
"Enterococcus_B_faecium",16,12,16,7480,5484,7398,11915,5759,7435,12025,6998,9846,6358,9127,6561,8377,8709,10774,10645,8409,3759,4322,3814,4540,11564,7259,995,2339,3251,3856,9915,7713,1774,5062,2165,2518,3798,3676,5602,7219,4576,5928,2725,5587,2958,7846,13004,7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_uniformis",0,0,0,1678,1581,1975,2697,1342,1659,3302,1584,2066,1326,1587,1261,1550,1217,1739,2021,1479,1001,1906,318,525,1701,1040,295,963,432,657,1954,1566,571,1772,239,323,722,540,476,803,222,639,660,1268,416,881,262,124,0,0,504,390,302,537,168,393,0,380,253,300,721,240,218,147,130,601,436,142,53,0,18,449,448,91,107,19,31,84,209,98,54,17,17,847,663,269,296,0,0,343,328,47,59,16,0,0,0,0,2445,1387,1760,2480,2054,1959,4630,2475,1868,1353,4015,1225,2676,172,173,688,1546,2753,4228,259,326,391,1215,1243,2970,396,564,180,576,1474,2886,318,541,761,851,1128,1325,572,567,164,851,334,478,190,217
"Bacteroides_thetaiotaomicron",0,0,0,1003,928,1307,1581,733,867,1672,913,1191,719,995,631,800,617,899,1236,850,702,792,332,400,957,617,206,389,306,380,956,674,396,1072,159,230,429,355,237,422,83,230,359,643,200,431,154,98,0,0,34,28,28,72,0,32,0,44,25,35,96,26,0,27,18,61,20,30,0,0,0,48,37,0,0,0,0,20,20,0,0,0,0,90,62,0,29,0,0,39,30,0,0,0,0,0,0,0,488,258,518,479,498,514,1105,593,544,296,1014,535,1232,383,551,267,596,629,855,102,118,360,848,232,476,97,129,229,431,231,522,53,112,170,221,415,439,122,102,92,339,88,214,47,61
"Bacteroides_cellulosilyticus",0,0,0,101,80,118,183,87,79,177,111,133,102,108,87,112,171,213,169,135,262,295,119,186,166,91,141,256,115,213,158,115,210,565,59,86,35,46,75,140,60,118,22,91,99,191,48,30,0,0,127,89,75,267,79,119,0,114,95,129,228,89,59,0,0,210,122,0,0,0,0,258,112,0,0,0,0,46,58,0,0,0,0,542,192,30,65,0,0,222,92,0,0,0,0,0,0,0,156,69,101,160,139,147,323,151,145,74,281,132,319,71,143,70,143,208,308,18,17,59,206,70,173,26,22,69,98,81,218,11,30,48,58,84,76,59,39,0,80,21,50,0,20
"Bacteroides_finegoldii",0,0,0,125,95,162,178,92,117,202,86,152,81,113,93,84,129,187,106,113,22,0,0,0,113,69,0,10,0,10,122,87,0,26,0,0,52,34,71,82,0,10,49,88,0,87,0,0,0,0,69,50,34,57,34,53,0,45,51,50,131,60,30,35,54,90,75,83,34,0,16,93,71,51,36,15,14,21,58,49,31,0,0,167,113,36,31,0,0,82,60,24,13,0,0,0,0,0,424,272,612,430,361,368,989,541,532,157,675,246,1270,1029,737,190,262,1956,2734,318,423,324,614,732,1788,323,457,221,281,880,2023,259,455,154,154,1078,1083,885,636,22,144,257,534,206,299
"Bacteroides_ovatus",0,0,0,136,105,172,177,101,86,192,108,153,101,117,85,101,90,81,107,94,92,63,38,47,131,74,32,53,25,49,113,114,48,102,0,32,57,38,22,58,0,25,38,59,17,48,13,0,0,0,34,20,0,28,0,22,0,19,0,42,52,29,17,18,16,33,22,20,0,0,0,36,35,16,14,0,0,0,17,0,0,0,0,90,59,21,14,0,0,37,18,0,0,0,0,0,0,0,99,44,92,95,89,86,189,116,103,45,198,84,241,57,77,43,69,202,279,41,46,55,180,64,145,50,87,39,99,79,204,35,65,18,48,92,78,56,58,0,55,28,39,18,21
"Bacteroides_sp002491635",0,0,0,106,62,89,134,67,85,147,72,95,60,69,58,76,65,85,99,72,38,82,22,18,83,66,18,46,18,34,97,68,44,92,16,16,50,29,33,61,0,31,24,68,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,63,49,76,84,57,148,71,74,43,153,58,110,11,13,25,59,113,189,12,18,19,55,36,95,14,23,0,27,31,124,23,31,36,36,41,59,19,17,0,37,19,21,0,0
"Bacteroides_sp900765785",0,0,0,77,51,84,135,50,53,113,49,91,52,66,46,56,38,35,72,46,29,52,19,33,64,49,16,34,16,19,47,47,19,72,0,18,27,34,12,33,0,15,19,46,0,42,19,0,0,0,14,0,0,23,0,0,0,0,0,14,29,0,0,0,0,28,17,0,0,0,0,32,19,0,0,0,0,0,0,0,0,0,0,31,20,13,14,0,0,13,15,0,0,0,0,0,0,0,103,30,98,61,94,82,179,123,98,39,144,83,151,51,63,35,56,64,72,43,65,42,86,27,48,44,71,19,56,21,86,34,56,19,34,51,55,83,91,0,27,0,23,43,0
"Bacteroides_sp900761785",0,0,0,73,63,73,108,47,45,120,61,89,48,72,36,48,49,67,80,64,34,41,18,26,47,37,16,21,15,23,61,40,26,54,0,18,19,24,22,25,0,14,16,45,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,37,53,49,25,85,39,40,27,88,34,71,29,50,0,36,64,78,0,0,22,55,0,50,0,0,15,0,20,67,0,0,0,0,20,23,0,0,0,15,0,0,0,0
"Bacteroides_xylanisolvens",0,0,0,45,47,54,65,37,29,83,44,55,25,36,24,47,39,57,43,29,21,36,0,13,47,31,0,13,0,0,48,36,0,31,0,0,12,34,0,20,0,0,12,28,0,21,0,0,0,0,124,93,60,165,39,90,0,64,50,127,215,98,83,65,60,228,144,65,19,0,18,187,141,40,37,0,0,49,86,21,20,0,0,299,177,130,79,0,0,158,105,19,34,0,0,0,0,0,291,149,431,346,289,258,647,329,309,158,595,322,867,112,77,220,344,779,984,164,203,219,674,218,466,183,273,159,311,268,834,141,242,121,181,313,337,149,117,33,180,47,128,60,84
