metabolomics_id,gaba
biox001_met,3.42E-02
biox002_met,3.48E-02
biox003_met,3.31E-02
biox004_met,1.04E-01
biox005_met,9.29E-02
biox006_met,1.01E-01
biox007_met,1.02E-01
biox008_met,9.07E-02
biox009_met,8.88E-02
biox010_met,9.49E-02
biox011_met,9.50E-02
biox012_met,1.05E-01
biox013_met,9.29E-02
biox014_met,9.20E-02
biox015_met,1.05E-01
biox016_met,1.02E-01
biox017_met,1.53E-01
biox018_met,1.77E-01
biox031_met,1.25E-01
biox032_met,1.21E-01
biox033_met,4.73E-01
biox034_met,5.11E-01
biox035_met,6.33E-01
biox036_met,6.27E-01
biox049_met,0.03
biox050_met,0.04
biox051_met,0.03
biox052_met,0.03
biox053_met,0.03
biox054_met,0.02
biox055_met,0.02
biox056_met,0.02
biox057_met,0.03
biox058_met,0.03
biox059_met,0.03
biox060_met,0.02
biox061_met,0.03
biox062_met,0.03
biox063_met,0.02
biox064_met,0.03
biox065_met,0.06
biox066_met,0.04
biox079_met,0.03
biox080_met,0.12
biox081_met,0.72
biox082_met,0.74
biox083_met,0.77
biox084_met,0.79
biox097_met,0.03
biox098_met,0.03
biox099_met,0.04
biox100_met,0
biox101_met,0
biox102_met,0
biox103_met,0.01
biox104_met,0.01
biox105_met,0
biox106_met,0
biox107_met,0
biox108_met,0.02
biox109_met,0.02
biox110_met,0.02
biox111_met,0.01
biox112_met,0.02
biox113_met,0.03
biox114_met,0.03
biox127_met,0.03
biox128_met,0.02
biox129_met,0.11
biox130_met,0.38
biox131_met,0.64
biox132_met,0.53
